id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
629024003999355756,Lovely 1-bedroom unit in Hoboken,275852527,Cynthia,,Ward D (councilmember Michael Yun),40.74647,-74.02972,Entire home/apt,139,1,8,2022-09-18,2.24,1,305,8,
629099709887557109,Private Room in Charming 2-bedroom Apartment!,228962859,Sara,,Ward E (councilmember James Solomon),40.73045,-73.99984,Private room,153,1,2,2022-09-12,1.67,2,186,2,
629123310123379803,Luxury Apartment Near NYC Stock Exchange,459629795,Sara,,Ward F (councilmember Jermaine D. Robinson),40.70427268636241,-74.00766930021594,Entire home/apt,317,5,3,2022-08-22,1.76,2,328,3,
629559496008536251,Glamorous -Jersey City 15 MINS TO NYC 15 MINS EWR,435923538,Amber,,Ward F (councilmember Jermaine D. Robinson),40.70608,-74.07381,Entire home/apt,146,2,7,2022-09-10,1.75,1,174,7,
630251065364625921,"Lovely 3 Bed, 2 Bath steps away from Hamilton Park",410455908,John,,Ward E (councilmember James Solomon),40.73011,-74.04106,Entire home/apt,160,5,3,2022-09-03,2.14,1,0,3,
630325437440480102,Queen room 15 min from Times Square!,287197697,Cindy,,Ward D (councilmember Michael Yun),40.746185,-74.032745,Private room,70,1,6,2022-07-28,1.84,2,0,6,
630617449737554278,The Red Brick House - 1 Bed Downtown Jersey City,315215231,Diane,,Ward E (councilmember James Solomon),40.72155,-74.04546,Entire home/apt,160,2,3,2022-09-11,3,1,260,3,
630862928454683898,"Jersey City 1BR w/ W/D & DM, free shuttle to PATH",107434423,Blueground,,Ward D (councilmember Michael Yun),40.7404691,-74.043954,Entire home/apt,337,31,0,,,96,357,0,
630863399275329984,"Jersey City 2BR w/ W/D & DM, free shuttle to PATH",107434423,Blueground,,Ward D (councilmember Michael Yun),40.7404691,-74.043954,Entire home/apt,353,31,0,,,96,0,0,
631109017981734136,Sunny Room in Jersey City for Longterm Stay!!,295287039,Rezide,,Ward D (councilmember Michael Yun),40.74705,-74.04977,Private room,40,90,0,,,2,0,0,
632401579534732859,"Lovely, Tribeca 1-bedroom with full amenities",50401229,Lailee,,Ward E (councilmember James Solomon),40.7147,-74.00566,Entire home/apt,225,4,1,2022-07-26,0.54,1,83,1,
632702861249773098,1000sf Penthouse! 450sf Private Terrace! Views!,5324621,Alex,,Ward E (councilmember James Solomon),40.70841560243487,-74.00925428122325,Entire home/apt,476,3,0,,,1,357,0,
632820040572534927,Vibrant 2 bdrm apt near NYC in Jersey City Heights,15010278,Lola & Elvis,,Ward D (councilmember Michael Yun),40.74566,-74.05464,Entire home/apt,134,2,2,2022-09-01,0.59,1,289,2,
633224677069079991,Glamorous 2-Bedroom Apt in Jersey City Heights,213429125,Claudia,,Ward D (councilmember Michael Yun),40.742237,-74.044678,Entire home/apt,225,1,12,2022-09-11,4.24,1,336,12,
633898171886341459,Private Room NYC with Gym,460706094,Svetlana,,Ward E (councilmember James Solomon),40.70899,-74.01545,Private room,122,9,1,2022-08-14,0.83,1,14,1,
634135002448254125,Off White Townhouse with massive Roof Deck,39371435,Jarrett,,Ward E (councilmember James Solomon),40.72241,-74.01032,Entire home/apt,2700,3,2,2022-06-01,0.53,1,350,2,
634287012048217211,"AMEX LOFT ($4.7 million) 3,000 sqft (sleeps 10)",432679409,Manhattan Luxury,,Ward E (councilmember James Solomon),40.72313,-74.0094,Entire home/apt,2057,1,3,2022-08-22,0.88,6,333,3,
634295833293367468,Concrete Jungle Loft-3300 square feet (sleeps 10),432679409,Manhattan Luxury,,Ward E (councilmember James Solomon),40.73665,-74.01055,Entire home/apt,2386,1,3,2022-07-15,0.88,6,311,3,
635697764042953233,Loft-style 1 bedroom w/ doorman in NYC,132336233,Omar,,Ward E (councilmember James Solomon),40.70897,-74.00915,Entire home/apt,345,1,3,2022-09-04,2.09,1,36,3,
636090984334971127,Penthouse full floor 4 bedroom Elevator condo,456652626,Daniel,,Ward F (councilmember Jermaine D. Robinson),40.70266,-74.01116,Entire home/apt,643,4,6,2022-08-20,1.67,1,268,6,
636136650512497570,BEAUTIFUL  1 BEDROOM  APARTMENT WITH NYC VIEWS,426121129,Stay Stations,,Ward F (councilmember Jermaine D. Robinson),40.72137,-74.06281,Entire home/apt,159,1,2,2022-08-14,1.62,1,72,2,
636284976466179012,Prime Greenwich Village / Soho Loft! A++ Location!,451776967,Joselito,,Ward E (councilmember James Solomon),40.72819,-74.00106,Entire home/apt,332,2,11,2022-08-24,4.85,1,318,11,
636907375821719524,Lovely 1-bedroom apartment with deck & fireplace,101092223,Pamela,,Ward C (councilmember Richard Boggiano),40.74258,-74.05638,Entire home/apt,146,2,8,2022-09-15,2.45,1,258,8,
637667152834352362,Big 1 Bedroom in Jersey City,121909760,Brian,,Ward E (councilmember James Solomon),40.71891,-74.04653,Entire home/apt,122,10,1,2022-08-26,1,1,0,1,
637829551645337741,A bedroom with private bathroom and a balcony.,284879838,Temitope,,Ward A (councilmember Denise Ridley),40.7001,-74.09153,Private room,40,14,4,2022-08-25,1.12,8,63,4,
637861366268677623,Lovely bedroom with a shared bathroom,284879838,Temitope,,Ward A (councilmember Denise Ridley),40.7,-74.09112,Private room,40,5,4,2022-09-01,1.15,8,268,4,
638186208000099445,"W. Village 2BR w/ W/D, nr 8th Ave Subway",107434423,Blueground,,Ward E (councilmember James Solomon),40.73732,-74.00424,Entire home/apt,481,31,0,,,96,334,0,
638352899249796729,"12minTo EWR Airport, Parking, King Bed, Spa Shower",22866192,Mina,,Ward A (councilmember Denise Ridley),40.6849,-74.10791,Entire home/apt,160,1,9,2022-09-16,3.75,1,0,9,
638584142421485145,New York Katieland,85156888,Kate,,Ward F (councilmember Jermaine D. Robinson),40.70569,-74.00669,Entire home/apt,300,2,3,2022-09-12,0.96,1,6,3,
638907637372622550,Luxury 2-bedroom loft in heart of West Village,461838653,Lindsey,,Ward E (councilmember James Solomon),40.73729,-74.00637,Entire home/apt,700,1,5,2022-08-29,1.50,1,283,5,
639130260375041185,Newly Renovated Condo 10 min. from Times Square,461906503,Jen,,Ward D (councilmember Michael Yun),40.76615,-74.02577,Entire home/apt,185,2,12,2022-09-17,4.09,1,155,12,
639271386284858648,Incredible Loft in Tribeca,12637244,Max,,Ward E (councilmember James Solomon),40.71942,-74.00949,Entire home/apt,600,1,0,,,1,0,0,
639909158764273212,Great bedroom - shared bathroom and patio near NYC,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71038,-74.06538,Private room,47,29,0,,,12,365,0,
