id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14175,10 Min To Manhattan - Nyc - Time Sq,55660,Julio,,Ward D (councilmember Michael Yun),40.75729,-74.03782,Entire home/apt,98,28,8,2022-06-27,0.19,1,315,2,
23686,West Village outdoor living private townhouse,93790,Ann,,Ward E (councilmember James Solomon),40.72961,-74.00308,Entire home/apt,600,5,55,2022-07-24,0.45,2,27,3,
36703,"Sunny, clean 1 bdrm in W. Village",158284,Karene,,Ward E (councilmember James Solomon),40.73271,-74.00367,Entire home/apt,200,14,141,2022-06-01,0.96,1,226,5,
40669,Skyy’s Lounge / Cozy,175412,Skyy,,Ward C (councilmember Richard Boggiano),40.73742,-74.05255,Private room,128,3,10,2019-10-12,0.07,1,83,0,
60164,"Beautiful, elegant 3 bed SOHO loft",289653,Harrison,,Ward E (councilmember James Solomon),40.72012,-74.00397,Entire home/apt,514,30,109,2022-08-07,0.81,1,333,2,
71366,Beautiful One Bed West Village - 4 Month Special,364955,Ruperto,,Ward E (councilmember James Solomon),40.72997,-74.00196,Entire home/apt,225,30,44,2022-05-22,0.35,1,323,1,
133832,Fab Luxury Condo Private and Quiet,618991,Wendy,,Ward D (councilmember Michael Yun),40.76438,-74.03675,Entire home/apt,150,30,3,2022-08-31,0.03,1,352,1,
171455,Cozy Condo near NYC @ Great Value,818109,Dani,,Ward D (councilmember Michael Yun),40.74575,-74.03274,Private room,100,3,80,2022-08-29,0.60,2,41,14,
212109,2-bedroom share in heart of Greenwich Village!,666271,Susan,,Ward E (councilmember James Solomon),40.73814,-74.00811,Private room,89,30,11,2022-06-05,0.13,1,166,1,
215768,Minutes to Manhattan & Jersey Shore,846837,Charlaine,,Ward F (councilmember Jermaine D. Robinson),40.71663,-74.05799,Entire home/apt,121,6,154,2022-09-02,1.15,2,300,23,STR20-00055
235651,LARGE ARTSY Room w/ Loft Bed 4 DOOGLERS!,83257,Olan,,Ward E (councilmember James Solomon),40.74168,-74.00339,Private room,110,30,86,2020-01-18,0.65,1,321,0,
254245,Minutes to Manhattan and NJ Shore,846837,Charlaine,,Ward F (councilmember Jermaine D. Robinson),40.71019,-74.06026,Entire home/apt,129,6,117,2022-09-10,0.89,2,327,4,STR20-00055
262583,Landmark 2 Bedroom West Village NYC,605463,West Village,,Ward E (councilmember James Solomon),40.73219,-74.00289,Entire home/apt,331,4,232,2022-08-28,1.77,1,156,30,
269266,Modern private 2 bedrooms apt minutes to NYC,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71266,-74.06329,Entire home/apt,131,2,400,2022-08-17,3.04,12,345,28,
270245,Private room with own bathroom close to NYC,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71203,-74.06532,Private room,54,3,269,2022-08-23,2.05,12,316,30,
271255,Large Room with private bathroom min to Manhattan,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71258,-74.06284,Private room,103,2,314,2022-09-03,2.47,12,313,39,
274789,Private Bedroom/Bathroom in Hoboken - Close to NYC,292712,David,,Ward E (councilmember James Solomon),40.73604,-74.03758,Private room,122,3,15,2019-10-22,0.13,1,21,0,
285549,"Stunning New 2BR Apt, 10 Min to NYC",1486294,Shira,,Ward D (councilmember Michael Yun),40.76697,-74.02658,Entire home/apt,225,4,179,2022-09-06,1.39,3,353,19,
337481,CITY MANSION CLOSE TO TIMES SQUARE,1550683,Ruth & Henry,,Ward D (councilmember Michael Yun),40.76206,-74.03619,Entire home/apt,443,30,153,2021-07-25,1.19,4,18,0,
424870,"Charming Home, Best West Village St",2076206,Dan,,Ward E (councilmember James Solomon),40.73615,-74.00713,Entire home/apt,200,30,43,2016-10-24,0.44,1,300,0,
435736,1 BEDROOM APT CLOSE TO TIMES SQUARE,1550683,Ruth & Henry,,Ward D (councilmember Michael Yun),40.76256,-74.03791,Entire home/apt,150,30,9,2014-06-23,0.07,4,332,0,
456190,"West Village Loft, 1st floor",2267864,Gary,,Ward E (councilmember James Solomon),40.73491,-74.0058,Entire home/apt,177,3,384,2022-09-15,3.09,1,38,62,
467866,"Our NY home, Greenwich Village apt",2321870,David,,Ward E (councilmember James Solomon),40.73054,-74.00613,Private room,100,2,226,2022-09-05,1.80,1,13,10,
508581,7 MIN TO MANHATTAN - LARGE APT,2506890,Zachary,,Ward E (councilmember James Solomon),40.71979,-74.04549,Entire home/apt,139,28,58,2022-04-30,0.47,1,171,2,
532288,A Little West Village Charm,683230,Thomas,,Ward E (councilmember James Solomon),40.73328,-74.00069,Entire home/apt,295,30,113,2022-07-31,0.93,1,323,4,
571251,Gorgeous! New 3BR 2BT 10 Min to NYC,1486294,Shira,,Ward D (councilmember Michael Yun),40.7689,-74.02871,Entire home/apt,355,4,194,2022-09-02,1.60,3,327,29,
587740,Designer open space in TriBeCa Soho 1000sq ft,2899508,Tom & Jennifer,,Ward E (councilmember James Solomon),40.72215,-74.00416,Entire home/apt,184,30,19,2022-08-06,0.16,1,292,4,
675483,Room & Private Bath~Minutes to NYC!,2259684,Leigh,,Ward E (councilmember James Solomon),40.72268,-74.04251,Private room,90,3,355,2022-08-26,2.91,1,24,36,
698514,"SUNNY TOP FLOOR LOFT: Greenwich Village, NYC",3579116,Kristin,,Ward E (councilmember James Solomon),40.73124,-74.00374,Entire home/apt,275,30,9,2022-05-31,0.08,2,6,4,
729841,Gorgeous Apt Heart of West Villlage,73549,Melinda,,Ward E (councilmember James Solomon),40.7384,-74.0034,Entire home/apt,250,2,39,2022-09-03,0.35,1,0,11,
752289,Cozy Village apartment  near NYU,2285974,Cristiana,,Ward E (councilmember James Solomon),40.72734,-74.00094,Entire home/apt,200,4,17,2021-11-04,0.14,1,264,3,
777080,Prvt  Rm in lovely hse - 20mn 2 NY,1339635,Laura,,Ward D (councilmember Michael Yun),40.76154,-74.03058,Private room,32,30,21,2019-12-24,0.22,1,321,0,
783202,"Charming Apt off Bleecker, First Fl",4129805,Evelyn,,Ward E (councilmember James Solomon),40.73277,-74.00267,Entire home/apt,235,1,290,2022-09-12,2.43,6,33,26,
789302,"THE NEST - Style, luxe & simplicity",1119998,Edoardo,,Ward E (councilmember James Solomon),40.74222,-74.00381,Entire home/apt,255,60,8,2017-08-31,0.07,1,81,0,
810860,Spacious Studio minutes away from NYC,3530754,Laura,,Ward C (councilmember Richard Boggiano),40.72832,-74.06308,Entire home/apt,100,28,4,2022-01-31,0.09,1,266,3,
818075,Lovely Apartment - close to NYC,4296829,Harriet,,Ward C (councilmember Richard Boggiano),40.73889,-74.05091,Entire home/apt,95,3,146,2022-09-11,1.25,1,246,16,
818084,Gorgeous sunny prime SoHo 1BR Apt.,128256,Annie+Dan,,Ward E (councilmember James Solomon),40.72823,-74.00126,Entire home/apt,233,30,93,2022-08-09,0.81,1,347,1,
840594,Huge beautiful one bed West Village,4389865,Fiona,,Ward E (councilmember James Solomon),40.73095,-74.00657,Entire home/apt,400,30,9,2021-12-20,0.08,1,268,2,
850712,Cute Studio Greenwich Village NYC,4442608,Mario,,Ward E (councilmember James Solomon),40.73063,-74.00037,Entire home/apt,120,30,26,2022-08-13,0.25,1,131,4,
931793,CUTE APT 10 MINUTES TO TIMES SQUARE,1550683,Ruth & Henry,,Ward D (councilmember Michael Yun),40.76942,-74.0345,Entire home/apt,125,30,136,2021-07-19,1.18,4,264,0,
938292,New apt in downtown JC minutes away from Manhattan,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72371,-74.04931,Entire home/apt,83,29,14,2022-09-03,0.19,4,274,4,
946048,Newly renovated small studio.  1 Month or more,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72319,-74.04842,Entire home/apt,85,29,23,2022-08-13,0.32,4,87,3,
951944,Quiet Studio in Prime SoHo,1408973,Dom,,Ward E (councilmember James Solomon),40.72579,-74.00168,Entire home/apt,220,3,94,2022-08-28,0.81,1,11,6,
971427,Nice Apt -10 minutes to Manhattan,4318265,Bob & Francois,,Ward E (councilmember James Solomon),40.71839,-74.04522,Entire home/apt,146,5,281,2022-09-07,2.43,2,115,33,
999984,Greenwich Village Townhouse Apt,5468033,Linda,,Ward E (councilmember James Solomon),40.73196,-74.00076,Entire home/apt,300,30,122,2022-06-29,1.07,1,314,4,
1014258,Top floor apt w deck in Jersey City,5579774,Shannon,,Ward C (councilmember Richard Boggiano),40.73765,-74.04952,Entire home/apt,110,180,10,2022-05-18,0.10,1,230,1,
1078017,1 bedroom in Hoboken close to PATH,5931428,Peter,,Ward E (councilmember James Solomon),40.73821,-74.03456,Entire home/apt,150,30,17,2022-05-28,0.16,1,288,2,
1164101,Oasis in the West Village,6376776,Kurt,,Ward E (councilmember James Solomon),40.7387,-74.00382,Private room,92,30,15,2022-01-31,0.14,1,297,1,
1189378,Authentic Soho Loft (1200 sq ft),867249,Norwin,,Ward E (councilmember James Solomon),40.72118,-74.00567,Entire home/apt,315,2,218,2022-08-28,1.95,1,24,39,
1276863,Luxury Waterfront Apartment,6949940,Beata,,Ward E (councilmember James Solomon),40.71355,-74.03374,Entire home/apt,135,60,145,2019-09-13,1.29,1,67,0,
1280528,Fantastic room with private bathroom close NYC!,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71225,-74.06496,Private room,72,2,258,2022-08-29,2.29,12,330,28,
1281257,1BR LUXURY PENTHOUSE MODERN CONDO,2577135,Elena,,Ward E (councilmember James Solomon),40.70779,-74.00805,Entire home/apt,309,30,20,2022-06-27,0.20,1,167,1,
1282198,(1) 24/7 Train Station 10 mins Ride to Manhattan,189095873,M,,Ward C (councilmember Richard Boggiano),40.7294,-74.06896,Private room,45,30,73,2019-12-30,0.65,1,261,0,
1411811,Charming Parlor Apt off Bleecker,4129805,Evelyn,,Ward E (councilmember James Solomon),40.731,-74.00346,Entire home/apt,264,1,226,2022-09-01,2.14,6,20,31,
1470166,Modern studio in luxury bldg,7871933,Shillae,,Ward D (councilmember Michael Yun),40.75593,-74.04399,Entire home/apt,159,4,58,2016-11-01,0.53,1,51,0,
1530386,A Lovely 2br in Chelsea,8163133,Nikhil,,Ward E (councilmember James Solomon),40.7399,-74.0021,Entire home/apt,332,30,85,2022-07-12,0.86,1,322,3,
1656539,"Safe townhouse suite, private bath, garden use",93790,Ann,,Ward E (councilmember James Solomon),40.72986,-74.00299,Private room,155,4,274,2022-07-16,2.50,2,36,25,
1721115,"Financial District Oasis, Bright Summer Room",9072771,Kindra,,Ward F (councilmember Jermaine D. Robinson),40.70646,-74.00755,Private room,196,14,16,2020-12-29,0.16,2,353,0,
1724731,Luxury apt share/meatpacking/chelse,9090698,G,,Ward E (councilmember James Solomon),40.74411,-74.00728,Entire home/apt,275,30,2,2016-10-14,0.02,2,155,0,
1777007,Space For guest,3980927,Audemar,,Ward E (councilmember James Solomon),40.70948,-74.01564,Shared room,55,1,264,2022-09-08,2.48,1,336,33,
1782872,Suite Spot in Tribeca,9358396,Anne,,Ward E (councilmember James Solomon),40.71632,-74.01077,Entire home/apt,192,30,27,2022-09-03,0.25,1,69,4,
1897139,Luxury Furnished 1 Bedroom Apartment Jersey City,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,329,27,20,2018-08-26,0.20,40,364,0,
1897262,Modern 2 Bedroom Apartment in Jersey Citys Newport,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,499,27,7,2017-09-02,0.08,40,344,0,
2025709,1 Bdr near Wall St & WorldTradeCtr,1555612,Tasha,,Ward E (councilmember James Solomon),40.70959,-74.01505,Entire home/apt,142,90,1,2014-02-15,0.01,1,320,0,
2027194,Renovated Urban Oasis w/ private patio,10413011,Michael,,Ward E (councilmember James Solomon),40.73908,-74.03373,Entire home/apt,150,28,32,2022-09-01,1.25,1,216,6,
2061990,Professional women apartment,10178109,Desiree,,Ward A (councilmember Denise Ridley),40.69196,-74.088,Private room,125,1,0,,,1,365,0,
2149271,"DWTN Jersey City Art Studio Apt, long term stays",10969148,Colby,,Ward E (councilmember James Solomon),40.72612,-74.04989,Entire home/apt,142,15,22,2022-09-07,0.32,1,349,7,
2176306,"Dr Norton House@Lincoln Park JC,NJ",11099485,Stephen,,Ward B (councilmember Mira Prinz-Arey),40.71987,-74.07382,Entire home/apt,129,3,176,2022-09-10,1.71,1,306,31,
2220945,"Beautiful 1 Bedroom, Centrally Located",11330530,Erica,,Ward D (councilmember Michael Yun),40.74428,-74.03219,Entire home/apt,222,3,3,2022-09-17,3,1,354,3,
2227861,"Cozy Private rm in Jersey City, mins to Manhattan",11369577,Mat,,Ward E (councilmember James Solomon),40.72509,-74.04261,Private room,89,1,22,2022-09-06,0.41,1,21,11,
2243633,"Lux Hoboken 2 Bedroom w/wifi, minutes from NYC",9419684,Churchill,,Ward E (councilmember James Solomon),40.740677,-74.02778,Entire home/apt,349,9,8,2018-06-05,0.08,40,342,0,
2243687,Modern 1 Bedroom Apartment in Jersey Citys Newport,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,329,27,5,2016-06-24,0.05,40,364,0,
2243736,Jersey City NJ | Luxury 2 Bedroom Apt w/ Amenities,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,459,27,6,2020-01-01,0.08,40,362,0,
2291770,Luxury 2 BR/2BA 1310sq ft,3042398,Irina,,Ward E (councilmember James Solomon),40.73841,-74.0375,Entire home/apt,200,3,12,2016-04-24,0.14,1,260,0,
2330961,New York City in 5 minutes,6228898,Carlos & Lizbeth,,Ward D (councilmember Michael Yun),40.76063,-74.02827,Private room,200,3,154,2022-08-13,1.52,1,29,5,
2405505,Luxury West Village apt with views!,12294891,Lillian,,Ward E (councilmember James Solomon),40.73637,-74.00259,Entire home/apt,607,5,11,2021-10-22,0.11,1,0,1,
2454507,Close to everything - Jr 1 bedroom,9991763,Andrew,,Ward E (councilmember James Solomon),40.70867,-74.00499,Entire home/apt,130,365,6,2016-10-02,0.06,1,311,0,
2520640,NYC & Hudson River views (2 BR),12904260,Ramon,,Ward E (councilmember James Solomon),40.7149,-74.03435,Entire home/apt,225,28,5,2021-10-15,0.10,1,0,1,
2574386,Luxury Apt - west village/Chelsea,9090698,G,,Ward E (councilmember James Solomon),40.74284,-74.00691,Entire home/apt,275,30,3,2019-10-23,0.03,2,365,0,
2662979,Room with private bathroom min to Manhattan,1410590,Magda,,Ward E (councilmember James Solomon),40.72419,-74.05002,Private room,52,29,362,2022-08-09,3.53,12,303,23,
2663502,Big room with private bathroom close to Manhatta,1410590,Magda,,Ward E (councilmember James Solomon),40.7243,-74.05055,Private room,82,29,379,2022-05-30,3.69,12,309,23,
2825407,Brand new Reno just few min w bus to Times Sq NY,5752598,Sanela,,Ward D (councilmember Michael Yun),40.77155,-74.03246,Entire home/apt,214,2,6,2022-09-11,6,1,56,6,
2835711,Sunny West Village Apartment on MacDougal Street,3237504,Aspen,,Ward E (councilmember James Solomon),40.73058,-74.0007,Entire home/apt,105,30,52,2022-07-05,0.51,1,115,4,
2842992,GORGEOUS APT 10 MIN TO TIMES SQUARE,1550683,Ruth & Henry,,Ward D (councilmember Michael Yun),40.77102,-74.03373,Entire home/apt,236,30,102,2021-12-12,1.03,4,334,1,
2879634,Cute private apt Jersey City (NYC area no smoking),14717157,Dana & Guy,,Ward F (councilmember Jermaine D. Robinson),40.71126,-74.06053,Entire home/apt,83,3,255,2022-09-06,2.85,1,91,26,STR20-00090
2936054,October SPECIAL!! Enjoy the Holiday in NYC! Sale!,14990573,Raymond,,Ward E (councilmember James Solomon),40.70944,-74.0184,Entire home/apt,125,30,46,2017-10-22,0.45,1,291,0,
2936192,Bright Quiet Room in the W Village,13908017,Kaytlin,,Ward E (councilmember James Solomon),40.72849,-74.00161,Private room,163,2,255,2022-09-03,2.82,1,200,11,
3193538,Lrg Garden Studio w/Yard Min 30 Night Corp Rental,16186604,Edward,,Ward E (councilmember James Solomon),40.71492,-74.04007,Entire home/apt,115,30,205,2022-08-01,2.42,1,299,2,
3272201,Gorgeous Chic Apt on Prime West Village Street,16545323,Katie,,Ward E (councilmember James Solomon),40.73469,-74.0087,Entire home/apt,220,30,14,2017-11-06,0.14,1,268,0,
3283255,2. New York City!!! 15/20 Minutes Away.,9315100,Adolfo,,Ward D (councilmember Michael Yun),40.76992,-74.03268,Entire home/apt,100,3,336,2022-09-12,3.34,3,272,39,
3339399,139-3E west village 1BR!best value!,2119276,Eran,,Ward E (councilmember James Solomon),40.73203,-74.00676,Entire home/apt,150,30,20,2022-08-21,0.22,7,237,3,
3487433,Waterfront Loft - 7 mins to NYC!,16038,Festive,,Ward E (councilmember James Solomon),40.71721,-74.03863,Entire home/apt,375,28,9,2018-08-13,0.10,1,261,0,
3530517,2 Story Loft Tribeca/Soho Downtown Manhattan,17773625,Josie,,Ward E (councilmember James Solomon),40.71922,-74.00276,Entire home/apt,900,3,113,2022-09-06,1.15,1,305,15,
3553768,"Serene, minimalist studio W Village",17891677,Arianna,,Ward E (councilmember James Solomon),40.73478,-74.00108,Entire home/apt,314,3,144,2022-08-27,1.48,1,267,36,
3587219,Charming studio in heart of West Village,8483704,Patrick,,Ward E (councilmember James Solomon),40.72974,-74.00706,Entire home/apt,135,30,29,2022-03-31,0.54,1,58,2,
3592755,"Luxury Condo 2B/2B, Hudson Rvr views! Indoor Pool!",4436607,Wang,,Ward E (councilmember James Solomon),40.73198,-74.03243,Entire home/apt,165,90,1,2022-07-30,0.59,1,282,1,
3655301,1st Floor Brownstone in Jersey City,18494549,Manuel,,Ward F (councilmember Jermaine D. Robinson),40.71869,-74.0675,Entire home/apt,69,29,389,2022-08-14,3.92,2,305,5,
3674016,Downtown loft - steps to NYC! Downtown Jersey City,318287,Cindy,,Ward E (councilmember James Solomon),40.72764,-74.04105,Entire home/apt,199,1,142,2022-07-23,1.43,2,350,22,
3747069,3 bedroom Le Beinvenue 5min walk to path train,2588186,Massimo,,Ward C (councilmember Richard Boggiano),40.73297,-74.06844,Entire home/apt,120,29,48,2022-02-07,0.51,2,318,1,
3791244,139-2E west village 1BR!best value!,2119276,Eran,,Ward E (councilmember James Solomon),40.73368,-74.00797,Entire home/apt,155,30,24,2022-08-09,0.25,7,228,5,
3803622,Cozy West Village apartment,19544909,Michelle,,Ward E (councilmember James Solomon),40.7132,-74.005,Entire home/apt,200,30,11,2022-08-31,0.13,1,322,1,
3804690,Statue of Liberty Views Downtown,19550968,Silvia,,Ward E (councilmember James Solomon),40.71227,-74.01703,Entire home/apt,110,30,9,2022-07-30,0.09,1,29,2,
3832863,1 Bedroom w/ huge Deck in West Village/SOHO,18094896,Wendy,,Ward E (councilmember James Solomon),40.72777,-74.00427,Entire home/apt,350,30,23,2019-10-05,0.24,1,18,0,
3857337,Private Floor in Carriage House,15768941,Deb,,Ward E (councilmember James Solomon),40.74249,-74.02885,Private room,151,2,42,2022-05-30,0.44,1,298,10,
3887785,"Only a few minutes from NYC, and SO MUCH CHEAPER!!",11473512,John,,Ward E (councilmember James Solomon),40.73857,-74.03898,Entire home/apt,132,1,165,2022-08-31,1.68,1,25,36,
3891031,LAST DAY TO BOOK Bedroom on Wall St,20133610,Shi Qing,,Ward E (councilmember James Solomon),40.70778,-74.0048,Private room,139,365,13,2015-07-15,0.13,1,365,0,
3895007,13 Mins ❤ of NYC Times Square!,4364533,Grateful,,Ward D (councilmember Michael Yun),40.77163,-74.03088,Entire home/apt,106,7,243,2022-08-23,2.47,12,27,33,
3923264,"Lux Hoboken 1 Bedroom w/wifi, minutes from NYC",9419684,Churchill,,Ward E (councilmember James Solomon),40.740677,-74.02778,Entire home/apt,289,9,13,2018-08-20,0.14,40,361,0,
3952881,Cozy 2 BR Apartment in North Bergen,20488277,Carina,,Ward D (councilmember Michael Yun),40.77768,-74.03908,Entire home/apt,95,2,281,2022-09-11,2.87,1,42,40,
3968610,Charming apt in Greenwich Village!,20567256,Marina,,Ward E (councilmember James Solomon),40.72812,-74.00014,Entire home/apt,128,30,42,2021-06-06,0.44,1,58,0,
3998977,5 Bdrm 2 bath TH triplex w garden,5162192,Amy,,Ward E (councilmember James Solomon),40.71363,-74.0063,Entire home/apt,400,30,1,2021-08-16,0.08,1,6,0,
4007369,Charming Home (3bd/2ba)(6-8ppl),19341950,Roosevelt,,Ward B (councilmember Mira Prinz-Arey),40.71626,-74.08065,Entire home/apt,165,3,219,2022-08-14,2.30,1,81,22,
4135395,Charming Downtown Hoboken APT close to NYC,1779791,Ariel,,Ward E (councilmember James Solomon),40.73911,-74.03111,Entire home/apt,151,2,237,2022-09-18,2.63,2,281,54,
4141545,Great location! Long term rental,14154591,Chris,,Ward D (councilmember Michael Yun),40.76684,-74.02891,Entire home/apt,99,175,3,2021-09-30,0.14,1,83,1,
4183424,Charming West Village 1 bdrm,9405848,Susie,,Ward E (councilmember James Solomon),40.7317,-74.00424,Entire home/apt,190,7,18,2022-07-30,0.25,1,207,1,
4198514,Modern 3 Bdr with great Reviews,21781738,Robert,,Ward D (councilmember Michael Yun),40.75558,-74.04381,Entire home/apt,275,30,17,2018-05-06,0.19,1,43,0,
4384868,Classic 1 Bedroom Apartment in Jersey City Newport,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,329,27,4,2019-10-20,0.05,40,364,0,
4410626,Spacious neo-country seaside loft,22893493,Nick,,Ward F (councilmember Jermaine D. Robinson),40.67893,-74.01718,Entire home/apt,369,2,143,2022-09-11,1.53,1,160,35,
4455094,West Village Style and Charm-Vaccinated&Boostered,13541655,Michael,,Ward E (councilmember James Solomon),40.73098,-74.004822,Private room,150,2,296,2022-08-28,3.44,1,15,66,
4507262,Luxurious Village 1 bed!,2282450,Philip,,Ward E (councilmember James Solomon),40.73559,-74.00314,Entire home/apt,225,30,45,2022-07-29,0.50,1,136,8,
4531787,Studio at heart of Downtown JC.,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72502,-74.04846,Entire home/apt,65,29,17,2022-06-05,0.20,4,189,6,
4546507,"Lux Hoboken 1 Bedroom w/wifi, minutes from NYC",9419684,Churchill,,Ward E (councilmember James Solomon),40.740677,-74.02778,Entire home/apt,289,9,5,2022-03-09,0.08,40,361,1,
4582869,Historic Downtown Jersey City (Legal),15356305,Jennifer,,Ward E (councilmember James Solomon),40.7229,-74.04496,Entire home/apt,171,2,224,2022-09-12,2.35,1,290,34,
4624521,"Financial District Oasis, Cozy Private Bedroom",9072771,Kindra,,Ward F (councilmember Jermaine D. Robinson),40.70461,-74.00946,Private room,214,14,9,2021-10-31,0.12,2,160,1,
4709428,Urban Suite by New York,13637042,Ursula And Carlos,,Ward D (councilmember Michael Yun),40.762329,-74.029465,Entire home/apt,150,90,96,2022-05-22,1.07,1,155,3,
4710131,"NYC 20 min. Away! SMALL, CLEAN & Private Area",24343271,HappyDay,,Ward D (councilmember Michael Yun),40.76938,-74.02925,Private room,60,4,205,2022-09-05,2.18,1,147,33,
4881420,LARGE COZY STUDIO BEST LOCATION - PARADISIAC OASIS,25112856,Mio,,Ward E (councilmember James Solomon),40.74085,-74.00339,Entire home/apt,189,4,83,2022-08-28,0.95,1,297,25,
4885569,Large & Gorgeous! Heart of Village,17056215,Yaniv And Vanessa,,Ward E (councilmember James Solomon),40.73053,-74.00097,Entire home/apt,302,30,46,2022-08-14,0.53,1,38,5,
5006113,SOHO NEW YORK LUXURY LOFT MID-CENTURY MODERN,6095946,Fiona,,Ward E (councilmember James Solomon),40.72044,-74.00399,Entire home/apt,1130,21,2,2021-03-17,0.03,1,0,0,
5192752,Clean Spacious 1 Bedroom Apartment in Jersey City,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,359,27,12,2018-12-05,0.14,40,353,0,
5193707,Private Jersey City 1 Bedroom Apartment near PATH,9419684,Churchill,,Ward E (councilmember James Solomon),40.72455,-74.03591,Entire home/apt,329,27,5,2019-05-26,0.06,40,365,0,
5259407,139 - 2E 1BR Prime West village~Sleeps 3,2119276,Eran,,Ward E (councilmember James Solomon),40.73205,-74.0064,Entire home/apt,155,30,3,2015-12-23,0.03,7,301,0,
5298896,Unique NYC Loft - Guest Room,3868692,Lucas,,Ward F (councilmember Jermaine D. Robinson),40.70419,-74.01127,Private room,150,5,205,2022-09-15,2.84,2,33,47,
5353612,Beautiful private suite-like 2FL apt. West Village,9350960,Victoria,,Ward E (councilmember James Solomon),40.73478,-74.00734,Entire home/apt,300,2,302,2022-09-07,3.91,1,221,38,
5434150,Charming NYC Studio Loft near Soho & NYU!,27813383,O,,Ward E (councilmember James Solomon),40.72876,-74.00075,Entire home/apt,150,30,53,2022-08-08,0.59,1,70,3,
5480321,Modern Zen Apartment,28419528,Mary,,Ward D (councilmember Michael Yun),40.76259,-74.02663,Entire home/apt,200,2,144,2022-09-08,1.67,1,338,24,
5619149,Vibrant Manhattan Artist Loft,3868692,Lucas,,Ward F (councilmember Jermaine D. Robinson),40.70282,-74.00911,Entire home/apt,675,7,64,2022-01-01,0.71,2,18,1,
5679938,Stunning Furnished Modern Studio,1303542,Frank,,Ward E (councilmember James Solomon),40.71081,-74.00762,Entire home/apt,150,120,3,2016-10-06,0.03,1,202,0,
5697589,"385 ""4"" Big modern room 5 min walk to Path/WIFI",6958867,Henry,,Ward E (councilmember James Solomon),40.72338,-74.04911,Private room,70,29,83,2022-03-18,0.92,34,70,4,
5706875,Big room in Luxury House min to PATH NYc WIFI TV,1410306,Eugene,,Ward E (councilmember James Solomon),40.72343,-74.04898,Private room,80,29,63,2022-09-04,0.69,32,74,6,
5749237,Quiet & Charming West Village 1 BDR,4301655,Kim,,Ward E (councilmember James Solomon),40.73305,-74.00375,Entire home/apt,225,30,4,2015-08-10,0.04,1,23,0,
5758802,Huge Modern room Downtown Jersey City/WIFI,6958867,Henry,,Ward E (councilmember James Solomon),40.72355,-74.04888,Private room,74,29,116,2022-07-31,1.31,34,65,5,
5759911,Modern Clean room 5 min to PATH min to NYc WIFI TV,1410306,Eugene,,Ward E (councilmember James Solomon),40.72181,-74.04862,Private room,69,29,88,2022-08-26,0.97,32,82,6,
5772382,"385 ""2"" Private room 5 min walk to Path/WIFI",6958867,Henry,,Ward E (councilmember James Solomon),40.72346,-74.05055,Private room,54,29,111,2022-04-05,1.23,34,60,5,
5774113,Close to Manhattan,27563833,Spontaneously Living,,Ward D (councilmember Michael Yun),40.74727,-74.0493,Private room,60,5,51,2022-07-10,0.57,3,87,13,
5778131,Cozy Artistic 1BR w/ Spectaclar Views,21318638,Aidah,,Ward F (councilmember Jermaine D. Robinson),40.72121,-74.0624,Entire home/apt,145,3,9,2022-08-11,0.11,1,0,5,
5851881,1. New York City!!! 15/20 Minutes Away.,9315100,Adolfo,,Ward D (councilmember Michael Yun),40.76936,-74.0317,Entire home/apt,98,3,305,2022-09-12,3.36,3,276,45,
5851973,Furnished BED+Pvt BATH super close to NYC on train,30374905,Sam,,Ward E (councilmember James Solomon),40.72588,-74.03052,Private room,58,1,25,2017-12-28,0.34,1,0,0,
5989369,Super nice clean and close to NYC,30560014,Moe,,Ward A (councilmember Denise Ridley),40.69664,-74.10257,Entire home/apt,150,1,24,2017-10-22,0.27,2,201,0,
6028028,Private Hoboken 1BR | Full Kitchen & W/D | by GLS,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.740677,-74.02778,Entire home/apt,289,9,3,2021-06-14,0.10,52,361,0,
6063269,Huge art deco room-Grove St. PATH 4 blocks,8179282,Laila,,Ward F (councilmember Jermaine D. Robinson),40.71947,-74.04789,Private room,150,7,5,2018-10-17,0.06,2,92,0,
